Hour,PV,WT,HY
271,0.029,0.086,1
272,0.108,0.091,1
273,0.225,0.093,1
274,0.374,0.113,1
275,0.491,0.16,1
276,0.614,0.192,1
277,0.677,0.219,1
278,0.676,0.253,1
279,0.611,0.284,1
280,0.517,0.297,1
281,0.448,0.294,1
282,0.336,0.285,1
283,0.197,0.276,1
284,0.071,0.236,1
285,0.006,0.229,1
286,0,0.256,0.66
287,0,0.208,0.66
288,0,0.169,0.66
289,0,0.153,0.66
290,0,0.151,0.66
291,0,0.149,0.66
292,0,0.155,0.66
293,0,0.149,0.66
294,0,0.16,0.66
295,0.031,0.133,1
296,0.114,0.071,1
297,0.252,0.137,1
298,0.447,0.189,1
299,0.582,0.253,1
300,0.662,0.288,1
301,0.651,0.394,1
302,0.579,0.552,1
303,0.618,0.681,1
304,0.597,0.78,1
305,0.442,0.817,1
306,0.293,0.786,1
307,0.175,0.71,1
308,0.06,0.664,1
309,0.002,0.622,1
310,0,0.54,0.66
311,0,0.422,0.66
312,0,0.349,0.66
313,0,0.348,0.66
314,0,0.294,0.66
315,0,0.249,0.66
316,0,0.231,0.66
317,0,0.209,0.66
318,0,0.192,0.66
319,0.031,0.145,1
320,0.116,0.088,1
321,0.289,0.072,1
322,0.455,0.073,1
323,0.589,0.1,1
324,0.687,0.118,1
325,0.735,0.154,1
326,0.738,0.184,1
327,0.715,0.165,1
328,0.652,0.145,1
329,0.537,0.124,1
330,0.387,0.118,1
331,0.214,0.119,1
332,0.062,0.084,1
333,0.006,0.087,1
334,0,0.115,0.66
335,0,0.108,0.66
336,0,0.077,0.66
337,0,0.038,0.66
338,0,0.012,0.66
339,0,0.002,0.66
340,0,0,0.66
341,0,0,0.66
342,0,0.004,0.66
343,0.031,0.007,1
344,0.113,0,1
345,0.273,0,1
346,0.451,0,1
347,0.581,0.008,1
348,0.684,0.004,1
349,0.743,0.002,1
350,0.72,0.01,1
351,0.62,0.028,1
352,0.55,0.04,1
353,0.469,0.054,1
354,0.303,0.064,1
355,0.153,0.057,1
356,0.046,0.024,1
357,0.001,0.004,1
358,0,0.005,0.66
359,0,0.086,0.66
360,0,0.316,0.66
361,0,0.422,0.66
362,0,0.329,0.66
363,0,0.317,0.66
364,0,0.398,0.66
365,0,0.425,0.66
366,0,0.337,0.66
367,0.028,0.24,1
368,0.118,0.149,1
369,0.274,0.196,1
370,0.43,0.257,1
371,0.556,0.294,1
372,0.649,0.344,1
373,0.7,0.451,1
374,0.708,0.583,1
375,0.662,0.675,1
376,0.526,0.735,1
377,0.4,0.74,1
378,0.258,0.697,1
379,0.108,0.59,1
380,0.029,0.51,1
381,0,0.479,1
